name,iso639,prevalence
Abkhazian,ab,1000
Afar,aa,1000
Afrikaans,af,1000
Akan,ak,1000
Albanian,sq,1000
Amharic,am,1000
Arabic,ar,6
Aragonese,an,1000
Armenian,hy,1000
Assamese,as,1000
Avaric,av,1000
Avestan,ae,1000
Aymara,ay,1000
Azerbaijani,az,1000
Bambara,bm,1000
Bashkir,ba,1000
Basque,eu,1000
Belarusian,be,1000
Bengali,bn,1000
Bislama,bi,1000
Bosnian,bs,1000
Breton,br,1000
Bulgarian,bg,1000
Burmese,my,1000
Catalan,ca,1000
Chamorro,ch,1000
Chechen,ce,1000
Chichewa/Chewa/Nyanja,ny,1000
Chinese,zh,1000
Chuvash,cv,1000
Cornish,kw,1000
Corsican,co,1000
Cree,cr,1000
Croatian,hr,1000
Czech,cs,1000
Danish,da,1000
Divehi/Dhivehi/Maldivian,dv,1000
Dutch,nl,1000
Dzongkha,dz,1000
English,en,1
Esperanto,eo,1000
Estonian,et,1000
Ewe,ee,1000
Faroese,fo,1000
Fijian,fj,1000
Finnish,fi,1000
French,fr,5
Fulah,ff,1000
Galician,gl,1000
Georgian,ka,1000
German,de,12
Greek,el,1000
Guarani,gn,1000
Gujarati,gu,1000
Haitian Creole,ht,1000
Hausa,ha,1000
Hebrew,he,1000
Herero,hz,1000
Hindi,hi,3
Hiri Motu,ho,1000
Hungarian,hu,1000
Indonesian,id,1000
Irish,ga,1000
Igbo,ig,1000
Inupiaq,ik,1000
Ido,io,1000
Icelandic,is,1000
Italian,it,29
Inuktitut,iu,1000
Japanese,ja,13
Javanese,jv,1000
Kalaallisut,kl,1000
Kannada,kn,1000
Kanuri,kr,1000
Kashmiri,ks,1000
Kazakh,kk,1000
Central Khmer,km,1000
Kikuyu/Gikuyu,ki,1000
Kinyarwanda,rw,1000
Kirghiz/Kyrgyz,ky,1000
Komi,kv,1000
Kongo,kg,1000
Korean,ko,23
Kurdish,ku,1000
Kuanyama/Kwanyama,kj,1000
Latin,la,1000
Luxembourgish/Letzeburgesch,lb,1000
Ganda,lg,1000
Limburgan/Limburger/Limburgish,li,1000
Lingala,ln,1000
Lao,lo,1000
Lithuanian,lt,1000
Luba-Katanga,lu,1000
Latvian,lv,1000
Manx,gv,1000
Macedonian,mk,1000
Malagasy,mg,1000
Malay,ms,1000
Malayalam,ml,1000
Maltese,mt,1000
Maori,mi,1000
Marathi,mr,1000
Marshallese,mh,1000
Mongolian,mn,1000
Nauru,na,1000
Navajo,nv,1000
North Ndebele,nd,1000
Nepali,ne,1000
Ndonga,ng,1000
Norwegian Bokmål,nb,1000
Norwegian Nynorsk,nn,1000
Norwegian,no,1000
Sichuan Yi/Nuosu,ii,1000
South Ndebele,nr,1000
Occitan,oc,1000
Ojibwa,oj,1000
Church Slavic,cu,1000
Oromo,om,1000
Oriya,or,1000
Ossetian,os,1000
Punjabi/Panjabi,pa,1000
Pali,pi,1000
Persian,fa,1000
Polish,pl,1000
Pashto,ps,1000
Portuguese,pt,1000
Quechua,qu,1000
Romansh,rm,1000
Rundi,rn,1000
Romanian/Moldavian/Moldovan,ro,1000
Russian,ru,8
Sanskrit,sa,1000
Sardinian,sc,1000
Sindhi,sd,1000
Northern Sami,se,1000
Samoan,sm,1000
Sango,sg,1000
Serbian,sr,1000
Gaelic/Scottish Gaelic,gd,1000
Shona,sn,1000
Sinhala/Sinhalese,si,1000
Slovak,sk,1000
Slovenian,sl,1000
Somali,so,1000
Southern Sotho,st,1000
Spanish,es,4
Sundanese,su,1000
Swahili,sw,1000
Swati,ss,1000
Swedish,sv,1000
Tamil,ta,1000
Telugu,te,1000
Tajik,tg,1000
Thai,th,1000
Tigrinya,ti,1000
Tibetan,bo,1000
Turkmen,tk,1000
Tagalog,tl,1000
Tswana,tn,1000
Tonga,to,1000
Turkish,tr,1000
Tsonga,ts,1000
Tatar,tt,1000
Twi,tw,1000
Tahitian,ty,1000
Uighur/Uyghur,ug,1000
Ukrainian,uk,1000
Urdu,ur,10
Uzbek,uz,1000
Venda,ve,1000
Vietnamese,vi,1000
Volapük,vo,1000
Walloon,wa,1000
Welsh,cy,1000
Wolof,wo,1000
Western Frisian,fy,1000
Xhosa,xh,1000
Yiddish,yi,1000
Yoruba,yo,1000
Zhuang/Chuang,za,1000
Zulu,zu,1000
